# file: s2.43200-64799.May.31.22.10.18.prettyPlan.csv May.31.22.10.18
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458853.0625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
416,obs,,P.49,,[1201991],0.10875
417,obs,,P.49,,[1201151 1201152],0.13297
418,obs,,P.49,,[1200313 1200314],0.2395
419,obs,,P.49,,[1200312],0.11755
420,obs,,P.49,,[1199472 1199473 1199474 1199475],0.36551
421,obs,,P.49,,[1198636 1198637 1198638 1198639 1198640],0.48029
422,obs,,P.49,,[1197807 1197808 1197809 1197810 1197811],0.39282
423,obs,,P.49,,[1196978 1196979 1196980 1196981 1196982],0.48938
424,obs,,P.49,,[1196151 1196152 1196153 1196154 1196155],0.49009
425,obs,,P.49,,[1195322 1195323 1195324 1195325 1195326],0.58645
426,obs,,P.49,,[1194493 1194494 1194495 1194496 1194497],0.58643
427,obs,,P.49,,[1193677 1193678 1193679 1193680],0.46951
428,obs,,P.49,,[1192871 1193676],0.23473
429,obs,,P.49,,[1192867 1192868 1192869 1192870],0.17891
430,obs,,P.49,,[1192057 1192058 1192059 1192060 1192061],0.19871
431,obs,,P.49,,[1191250 1191251 1191252 1191253],0.0823
432,obs,,P.49,,[1190452 1190453 1190454 1190455],0.17907
433,obs,,P.49,,[1189662 1189663 1189664 1189665],0.08212
434,obs,,P.49,,[1188874 1188875 1188876 1188877],0.17858
435,obs,,P.49,,[1188081 1188082 1188083 1188084],0.08262
436,obs,,P.49,,[1187289 1187290 1187291 1187292],0.08279
437,obs,,P.49,,[1186499 1187288],0.04145
438,obs,,P.49,,[1186495 1186496 1186497 1186498],0.08278
439,obs,,P.49,,[1185704 1185705 1185706 1185707 1185708],0.10257
440,obs,,P.49,,[1184910 1184911 1184912 1184913 1184914],0.10223
441,obs,,P.49,,[1184115 1184116 1184117 1184118 1184119],0.10268
442,obs,,P.49,,[1183321 1183322 1183323 1183324 1183325],0.10362
443,obs,,P.49,,[1182524 1182525 1182526 1182527 1182528],0.10405
444,obs,,P.49,,[1181724 1181725 1181726 1181727 1181728],0.10388
445,obs,,P.49,,[1180926 1180927 1180928 1180929],0.08174
446,obs,,P.49,,[1180129 1180925],0.04106
447,obs,,P.49,,[1180125 1180126 1180127 1180128],0.08192
448,obs,,P.49,,[1179320 1179321 1179322 1179323 1179324],0.10202
449,obs,,P.49,,[1178520 1178521 1178522 1178523 1178524],0.10209
450,obs,,P.49,,[1177716 1177717 1177718 1177719 1177720],0.10229
451,obs,,P.49,,[1176906 1176907 1176908 1176909 1176910],0.10197
452,obs,,P.49,,[1176087 1176088 1176089 1176090 1176091],0.10212
453,obs,,P.49,,[1175262 1175263 1175264 1175265 1175266],0.10265
454,obs,,P.49,,[1174432 1174433 1174434 1174435 1174436],0.10384
455,obs,,P.49,,[1173600 1173601],0.04096
456,obs,,P.49,,[1173597 1173598 1173599],0.06195
457,obs,,P.49,,[1172749 1172750 1172751 1172752 1172753],0.10244
458,obs,,P.49,,[1171901 1171902 1171903 1171904],0.08219
459,obs,,P.49,,[1171046 1171047 1171048 1171049],0.08164
460,obs,,P.49,,[1170186 1170187 1170188 1170189],0.08226
461,obs,,P.49,,[1169315 1169316 1169317 1169318],0.0828
462,obs,,P.49,,[1168438 1168439 1168440 1168441 1168442],0.102
463,obs,,P.49,,[1167556 1167557 1167558 1167559],0.08214
464,obs,,P.49,,[1166664 1167555],0.04121
465,obs,,P.49,,[1166660 1166661 1166662 1166663],0.08207
466,obs,,P.49,,[1165749 1165750 1165751 1165752 1165753],0.10259
